10, 0.220660, 0.777919, 0.010672, 0.767247, 0.001421, 0.003918, 0.003936, 0.002474, 0.003184, 0.000056
28, 0.294112, 0.704416, 0.071185, 0.633232, 0.001472, 0.005041, 0.005068, 0.010577, 0.011318, 0.000031
46, 0.331378, 0.667113, 0.154903, 0.512210, 0.001509, 0.005055, 0.005071, 0.010754, 0.009283, 0.000025
64, 0.346471, 0.652017, 0.248128, 0.403889, 0.001512, 0.005965, 0.005975, 0.012475, 0.010956, 0.000018
82, 0.353278, 0.645203, 0.316492, 0.328712, 0.001519, 0.005356, 0.005361, 0.012170, 0.007469, 0.000012
100, 0.358510, 0.639963, 0.367740, 0.272223, 0.001526, 0.010748, 0.010761, 0.022845, 0.012361, 0.000016
200, 0.325729, 0.672740, 0.562835, 0.109904, 0.001531, 0.010682, 0.010682, 0.019474, 0.009005, 0.000006
300, 0.290461, 0.708002, 0.653900, 0.054102, 0.001536, 0.003480, 0.003483, 0.005625, 0.002330, 0.000011
400, 0.267181, 0.731287, 0.699079, 0.032208, 0.001532, 0.004896, 0.004894, 0.006731, 0.001982, 0.000007
500, 0.251679, 0.746788, 0.726779, 0.020009, 0.001533, 0.002758, 0.002761, 0.003568, 0.000923, 0.000004
